# Px, Py, Pz
-1.142980 1.218850 4.661380
-0.901429 1.316740 4.449910
-1.554500 0.803948 3.984140
-2.058820 0.714961 4.385050
-1.579070 1.220120 5.775970
-1.758340 1.015430 5.610690
-1.086190 1.018810 5.938720
-1.129010 0.214443 5.362330
-1.057800 1.048900 4.952530
0.699271 0.971360 6.018380
-1.363790 1.218430 4.127390
-1.320560 2.508060 4.199000
-0.751399 0.571275 3.114920
-0.586541 1.881680 3.616710
-0.343706 2.105020 3.814200
-0.290306 2.049490 3.228930
0.262748 1.924060 2.021940
1.224780 1.298520 2.494910
1.237490 -0.067381 2.584340
1.732490 1.226890 2.385570
1.722320 2.747920 2.227070
2.246560 1.954140 1.893540
1.435840 1.668080 1.035770
1.171380 2.128750 2.619510
0.963724 2.617820 2.052040
1.472280 3.083570 1.701130
1.593910 1.967280 1.647310
0.694187 2.492790 1.112470
1.597300 2.308860 0.585695
0.650118 2.844970 1.173090
0.963302 2.547470 0.442873
2.021960 3.723510 1.243430
0.893790 4.788090 1.284960
1.441760 4.073990 1.948200
0.535262 4.283340 1.708330
0.300899 3.914650 1.465490
0.813277 2.508890 1.158670
0.177145 2.435580 1.496440
-0.876422 1.814710 1.620180
-0.294547 1.464220 1.357430
-0.220382 0.510684 2.722920
-0.697577 0.016538 3.872260
-0.714116 -0.525091 3.111540
-0.120790 0.083486 2.752150
-0.240717 0.677215 2.791160
0.741649 -0.226304 2.817000
-0.516183 -0.806918 2.643660
-1.532460 0.689948 1.300210
-0.694182 -1.259110 1.081960
-1.054410 -0.020767 0.871761
-1.666800 1.618070 1.749870
0.433549 0.094940 0.873017
0.372520 0.227150 1.137480
0.762000 0.421257 1.789710
2.427950 1.131550 1.287090
0.359816 0.816235 1.585860
1.152740 1.817250 1.906250
1.229020 0.873457 1.839720
0.187323 1.755810 1.452370
0.821322 0.875992 1.814710
-0.169516 1.091710 1.180700
-0.099167 2.442350 -0.052978
-0.332256 1.893120 0.885308
-0.233935 2.164770 -0.105097
-0.741646 2.356340 -0.785302
0.439487 2.329210 -0.503477
0.534833 1.405320 -1.792240
1.579500 0.886591 -0.521695
0.950155 0.189438 -0.723421
0.675545 -0.638671 -0.477631
2.538560 0.037288 -1.257410
2.313100 0.206805 -0.601367
2.042290 -0.451344 -1.345990
1.808360 1.019240 -0.733172
0.909047 0.325899 -1.463800
1.414220 -0.454318 -1.830400
0.475930 -0.736988 -0.869201
0.714521 -1.405310 -1.455760
0.971771 -0.729359 -1.314200
1.432870 -1.443470 -0.547972
1.106110 0.008478 -0.573827
1.287920 -1.354890 0.086461
0.021609 1.081960 0.332258
1.630780 1.440090 0.175035
2.177480 0.794207 0.300469
2.167730 0.478047 -0.175032
1.021790 -0.118245 -1.050590
2.998380 0.223344 -0.046609
2.327930 -0.933207 -0.414902
3.269620 -0.614080 0.671295
3.865480 -2.007550 0.984059
3.338270 -2.914900 0.700121
3.985410 -1.582900 0.325477
3.044580 -2.340230 0.770893
3.134430 -2.722060 1.495160
2.416500 -4.479570 1.693090
4.497780 -3.052210 2.635190
4.071440 -4.165530 1.826580
3.420490 -2.247840 2.697070
2.803860 -2.086380 2.526270
2.352930 -2.123670 4.007880
2.139760 -2.481770 3.269190
2.295300 -1.617220 2.977200
2.052890 -2.385580 3.328090
2.872090 -2.021110 2.986950
1.445160 -2.929310 3.675200
2.579240 -2.352920 3.425570
2.561020 -3.384890 3.915060
2.145280 -1.862600 3.218770
3.284870 -1.791820 4.063390
2.681810 -1.505330 3.821840
2.949660 -3.315820 4.604590
1.477360 -2.630950 3.580690
0.782335 -3.258600 2.576280
2.724190 -2.636460 3.772680
2.324540 -2.055440 3.095440
2.390660 -0.945923 2.404640
2.399140 -1.126460 2.475000
2.931850 -0.086455 3.489560
3.407780 -0.550953 4.131620
2.498290 -0.596707 3.611630
2.885660 -0.948039 2.555940
3.065350 -1.030690 2.873800
3.729440 -1.846080 2.426680
3.463300 -0.582302 1.531600
2.942440 -0.820049 1.004400
3.222150 -0.904805 1.021370
4.433800 -0.572125 1.031520
3.104770 -1.007370 0.868793
3.641710 0.115702 0.866673
4.186290 -2.022800 1.457880
3.990930 -0.583573 0.950579
4.608820 -1.712570 -0.141556
3.800210 -1.178580 0.336064
3.385310 -0.141545 -1.152310
3.646800 -0.795054 -0.431007
3.124680 -1.306580 -0.439905
1.727000 -0.873876 1.148070
2.300820 -0.808187 0.208927
3.789620 -1.864720 -1.821920
3.823950 -1.053570 -1.465080
4.272330 -1.272250 -2.950930
2.831410 -2.055430 -2.092310
2.073230 -1.274360 -1.677820
1.990590 -1.532880 -1.706220
2.777170 -2.192320 -2.647900
3.501430 -1.873620 -1.484560
4.521090 -2.162230 -0.508141
4.116790 -0.619165 -2.189350
4.543980 -1.522710 -1.840980
3.907020 -1.688840 -2.288940
2.769110 -0.745039 -2.485160
2.387700 -2.387690 -2.464400
3.338690 -2.296160 -2.848360
3.531950 -1.202750 -1.034070
3.275130 -0.847610 -2.215200
4.388870 -0.694613 -2.294450
3.877770 -0.910320 -1.971940
2.631790 -1.589670 -1.799450
3.462440 -2.158410 -0.663669
2.405070 -1.423540 -0.852692
3.061110 -1.120960 -0.363207
4.417270 -1.084090 -0.639948
4.081620 -1.620620 -0.014410
3.778180 0.328870 0.341156
3.549320 -0.647145 0.556445
2.962350 -1.528210 0.611539
2.329200 -2.095700 -0.233092
1.920670 -3.712490 -0.006357
1.110360 -3.700620 -0.680196
2.345300 -3.690440 -2.213930
2.750030 -3.239530 -2.587720
2.502530 -2.352500 -3.110680
2.126200 -1.714700 -3.880730
1.631630 -2.375820 -4.207070
2.469070 -2.852590 -2.711050
1.909220 -2.658500 -3.571370
2.959390 -2.828430 -2.536860
4.068470 -4.040930 -3.603150
3.963810 -2.063480 -4.873270
3.967190 -1.971090 -3.552720
4.003640 -2.974220 -4.065940
4.657140 -4.270640 -4.220630
4.670690 -3.480670 -4.722830
3.794710 -3.667570 -3.136980
4.284190 -3.039070 -2.919550
5.028820 -2.381330 -3.325990
4.681730 -2.509320 -2.600440
4.197310 -3.677730 -3.159010
5.135190 -4.443980 -2.143570
5.202570 -5.301740 -1.892690
5.463210 -4.833860 -2.473290
5.422520 -5.172910 -2.809790
4.577460 -5.445820 -1.005680
4.975830 -4.556270 -1.515090
5.428030 -6.106110 -2.571190
5.282660 -4.528290 -2.094420
4.823700 -5.206390 -1.566790
4.722830 -5.117810 -2.380060
5.718770 -5.541610 -2.885230
4.966090 -4.196460 -3.288690
3.772670 -5.753090 -4.017620
5.542880 -5.175020 -2.987790
4.614330 -5.784020 -2.377940
4.933450 -5.498810 -2.172400
3.855730 -5.536100 -3.013220
4.078660 -4.116780 -2.362680
4.988550 -3.990090 -2.427530
5.420410 -3.727330 -1.812590
3.850650 -4.542700 -3.343360
3.995160 -4.696980 -2.967030
3.392100 -5.200030 -2.131720
3.434480 -4.775370 -2.955570
3.812500 -5.709020 -4.017200
3.262410 -5.703500 -3.482790
3.845990 -4.707140 -4.247330
3.415830 -6.023050 -4.551620
3.283190 -4.585080 -4.593990
2.365660 -4.834290 -4.406680
3.209860 -3.419640 -5.509820
3.408620 -3.959990 -3.046280
3.032710 -2.426260 -4.362610
3.046270 -3.364130 -5.132640
3.063220 -2.426680 -5.756470
3.865060 -3.779870 -4.191380
3.751900 -4.436750 -4.405410
4.667310 -3.742580 -4.171040
4.519410 -2.656380 -4.916080
4.149860 -2.199510 -4.023140
4.387610 -2.257580 -3.133580
4.220200 -3.379800 -3.533640
2.720370 -3.965500 -2.572890
3.365810 -2.386010 -2.228330
1.940580 -3.179350 -2.539410
1.386250 -2.763590 -3.602720
1.472710 -3.641290 -4.079930
3.015330 -1.183250 -4.032040
2.526270 -2.825900 -4.269790
2.236820 -3.129340 -3.208600
